compound
Perfluorooctanoic acid (PFOA)
8H-Perfluorooctane
Perfluoro-2-methyl-3-(propan-2-yl)pentan-3-yl
"20-Hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoic acid"
1-Hydroperfluoroheptane
Octadecyl hydrogen sulfate
NP-014113
Perfluorononanoic acid (PFNA)
Stearoyl Ethanolamide
Tectorigenin
"O,O-Dibutyl phosphorothioate"
Grandiflorenic acid
Perfluorodecanoic acid (PFDA)
(4-Isopropenyl-1-cyclohexen-1-yl)methyl formate
Cocaine
7-OXOCHOLESTEROL
